"month","average_hi","average_lo","n"
1,76.3513768686074,60.2921479150275,1271
2,78.2504355400697,62.7089721254355,1148
3,80.4171675845791,65.1282140047207,1271
4,83.588,68.9278048780488,1230
5,86.7289221085759,72.9387411487018,1271
6,89.3261951219512,76.059756097561,1230
7,90.6828324154209,77.2270180959874,1271
8,90.7448623131393,77.3893154996066,1271
9,89.1716585365854,76.5808780487805,1230
10,86.1298662470496,73.6901809598741,1271
11,81.5649756097561,68.2157073170732,1230
12,78.1151219512195,63.640346184107,1271
